original,compare,original_photo,compare_photo,distance
pt,en,2240px-A%C3%A7ude_S%C3%A3o_Gon%C3%A7alo%2C_18_jul_2021%2C_Sousa_%28PB%29.jpg,2240px-Bandeira_da_Para%C3%ADba.svg.png,0.9751528911292553
pt,en,2240px-A%C3%A7ude_S%C3%A3o_Gon%C3%A7alo%2C_18_jul_2021%2C_Sousa_%28PB%29.jpg,2240px-Botxtre.jpg,0.89987613260746
pt,en,2240px-A%C3%A7ude_S%C3%A3o_Gon%C3%A7alo%2C_18_jul_2021%2C_Sousa_%28PB%29.jpg,2240px-Bras%C3%A3o_da_Capitania_da_Para%C3%ADba.jpg,0.9025584310293198
pt,en,2240px-A%C3%A7ude_S%C3%A3o_Gon%C3%A7alo%2C_18_jul_2021%2C_Sousa_%28PB%29.jpg,2240px-Brazil_State_Paraiba.svg.png,0.8897974938154221
pt,en,2240px-A%C3%A7ude_S%C3%A3o_Gon%C3%A7alo%2C_18_jul_2021%2C_Sousa_%28PB%29.jpg,2240px-CCJ-UEPB.jpg,0.85082046687603
pt,en,2240px-A%C3%A7ude_S%C3%A3o_Gon%C3%A7alo%2C_18_jul_2021%2C_Sousa_%28PB%29.jpg,2240px-Campina_Grande_-_Para%C3%ADba_-_Brasil%286%29.jpg,0.8744638413190842
pt,en,2240px-A%C3%A7ude_S%C3%A3o_Gon%C3%A7alo%2C_18_jul_2021%2C_Sousa_%28PB%29.jpg,2240px-Eleva%C3%A7%C3%B5es_rochosas_com_foto_tirada_durante_passeio_fotogr%C3%A1fico_ao_Pico_do_Jabre.jpg,0.8711314052343369
pt,en,2240px-A%C3%A7ude_S%C3%A3o_Gon%C3%A7alo%2C_18_jul_2021%2C_Sousa_%28PB%29.jpg,2240px-Ethnic_groups_in_Para%C3%ADba-2010.png,0.9385759606957436
pt,en,2240px-A%C3%A7ude_S%C3%A3o_Gon%C3%A7alo%2C_18_jul_2021%2C_Sousa_%28PB%29.jpg,2240px-Ind%C3%BAstria_3_de_Maio.jpg,0.8831700161099434
pt,en,2240px-A%C3%A7ude_S%C3%A3o_Gon%C3%A7alo%2C_18_jul_2021%2C_Sousa_%28PB%29.jpg,2240px-Jo%C3%A3o-Pessoa-Bairro-Tamba%C3%BA.jpg,0.8575777113437653
